name,score
microsoft/pxt,1
doctrineum/doctrineum-string,0
conda-forge_binutils-feedstock,1
neomutt_homebrew-neomutt,1
JolitaGrazyte/discogs-api,1
stts-se/wikispeech-server,1
beloop_CoreBundle,0
JonnyPtn_SFML-DOOM,1
beloop_components,1
alirazaalvi_ReactBoilerplate,0
yamamuteki_chi-bus.jp,0
wso2_carbon-identity-framework,1
alpha-miner/Finance-Python,1
EasonWang01_All2Json,0
roschaefer_story.board,1
glut23_webvtt-py,1
nanbando_core,1
pinussilvestrus_bncl,1
gucong3000_postcss-unprefix,1
akamai/AkamaiOPEN-edgegrid-java,1
influunt_influunt,0
Erebot_Module_IrcTracker,0
intel/libyami-utils,1
scrapy_cssselect,1
PatrikValkovic_StandardTemplates,1
gin0606_tukune,0
MarcoBuster_OrarioTreniBot,1
rubygarage_detectify,0
datamade/openness-project-nmid,0
enkessler_childprocess,1
bmcfee_pumpp,1
ITDSystems_alvex-orgchart,0
rlucioni_blog,1
butcherless_gradle-and-java8,0
ianstormtaylor_slate,1
ReactTraining_history,1
neuromorphic-paris_chameleon,1
eggjs_egg-logger,0
Nepherte_bing-proxy,0
TeamWizardry_TMT-Refraction,1
heroku_configerator,1
mmckinst_puppet-hash2stuff,0
TakWolf_Android-AspectRatioLayout,0
bcr_Motobuddy,0
armada-ths_ais,1
djavan-bertrand_JCVD,0
apigee-internal_microgateway,1
dennisss_tansa,1
Soldy_interactiveConsole,0
barnabycolby_MMM-Carousel,0
php-telegram-bot/telegram-bot-manager,1
EliseJ_astroABC,1
airbnb_epoxy,1
MilesChou/slim-test,0
odota/web,0
wilr_silverstripe-googlesitemaps,1
bbc_waveform-data.js,1
salesforce_refocus,1
electrode-io_isomorphic-loader,1
woocommerce_woocommerce,1
paddydoyle_ipam-lite,0
mmateja_dirclean,0
tiborv_memory-cache-ttl,0
excamera_alfalfa,1
jonathangingras_ckick,1
soef/ioBroker.find-my-iphone,1
sharmalab_Datascope,0
Nehon_bootmonkey,0
StackStorm_st2,1
zxz054321_laravel4china,0
iiif-prezi_iiif-prezi,1
p-groarke/fea_benchmark,1
heremaps_here-aaa-java-sdk,1
ekinhbayar_BrillTagger,0
cparse_cparse,1
datacite_orcid_client,0
imatesiu_TestHWCorrispettivi,0
ITArray/automotion-java,1
lccgov_generator-lcc-sharepoint,1
groovenauts_capistrano-systemd-multiservice,1
VestniK/portable_concurrency,1
algolia_algoliasearch-client-javascript,1
ResourcefulHumans_svg-template-builder,1
dev-sec_linux-baseline,1
lumoslabs_changes_are_logged,0
pixelnest_presskit.html,0
epistrephein_rarbg,0
aimalz_chippr,0
zuixjs/zuix,1
imagej_imagej-mesh,1
tymondesigns_lkr,0
malexer_pytest-spark,1
sherman5/wiimake,1
CAAPIM_webpack-config,1
nearform/udaru,1
teralytics_ansible-hdfs,0
karriereat_php-code-quality,1
quaddy-services_escape-from-intranet,1
mrajo_cupelix,0
react-boilerplate_react-boilerplate,1
stadia_activerecord-mysql2rgeo-adapter,1
wagtail_Willow,1
open-amdocs_zusammen,1
thedava_xspf-tools,1
iawia002_Diana,0
bitchcraft/reactjs-boilerplate,1
collinmutembei_III,0
Marri_glowfic,1
pablo-sg-pacheco/file-renaming-on-upload,0
albertodonato/toolrack,1
xp-forge_web,0
samrap_acf-fluent,1
spryker/quote,1
bloomreach-forge/iframe-perspective,0
walkingice_MomoDict,1
unifiedjs_unified-engine,0
bencbartlett_Overmind,0
microsoft/pxt-common-packages,1
telemark_minelev-notifications,0
airbnb_native-navigation,1
x42en_IOServer,1
cerner_terra-core,1
Axway_ats-distrib,0
michaelherold_codeclimate-haml-lint,1
socketry_async-dns,0
yitsushi/jenkins2-api,0
gmontard_dockrails,0
acquiropay_php-sdk,0
hashicorp_nomad-java-sdk,1
django-oscar_django-oscar-docdata,1
nx-desktop/nx-simplemenu-applet,1
percy_react-percy,1
all3dp_meshprop,0
networknt_light-rest-4j,1
fkhadra_react-on-screen,1
chubbyphp_chubbyphp-deserialization,1
cozy_cozy-drive,1
google_cdep,1
mozilla_jx-sqlite,1
lessersunda/lexirumah-data,0
AppDirect_service-integration-sdk,1
hasgeek_events,0
dmfs_ContentPal,1
konnectors/cozy-konnector-orange,1
desihub_redrock,1
erikkjellgren/SlowQuant,0
anthill-platform_anthill-common,1
