project,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.TemplateSimilarity,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.configuration.UseDeploy
aimalz_chippr,0,19,43,1,0,1,2,5,8,0,0,0
amiroff157_smarthaus,0,0,14,1,0,1,3,5,2,0,0,1
jeremyong_Selene,2,0,23,2,0,1,2,5,9,0,0,0
OCA_product-attribute,5,1,50,3,0,2,2,11,6,0,1,0
zzdhidden_wechat-next,0,0,16,1,0,1,2,5,1,0,1,0
spot-next_core-next,1,16,67,1,2,1,22,11,7,0,1,1
gushphp_ToInlineStyleEmailBundle,0,0,10,1,0,1,2,13,2,0,0,0
cibox_cibox,0,3,21,1,0,1,12,5,6,0,0,0
miraheze_mw-config,0,1,20,2,1,1,1,16,1,0,0,0
Kitware_kwiver,2,4,69,2,0,1,2,5,16,0,1,0
nipy_nipype,7,2,85,13,0,1,0,14,11,0,1,0
neobrain_nihstro,0,0,26,1,0,1,11,3,6,0,0,0
austintoddj_zoom,1,0,26,2,0,1,13,15,6,0,0,0
react-boilerplate_react-boilerplate,0,0,26,2,1,1,2,6,6,0,1,0
smartdevicelink_sdl_core,3,0,33,1,0,1,21,6,8,0,0,0
eymengunay_php-passbook,0,0,12,4,0,1,2,14,2,0,0,0
railsbridge_docs,0,0,6,1,0,1,12,3,0,0,1,0
PluginsOCSInventory-NG_officepack,0,0,21,3,0,1,2,17,5,1,0,0
ReadyTalk_avian,3,3,26,1,0,1,3,5,1,0,1,0
leancloud_javascript-sdk,0,0,21,1,0,1,12,7,4,0,0,0
LaTruelle_Geac,1,0,35,2,0,1,13,3,3,0,0,0
OCA_reporting-engine,7,2,38,3,0,1,13,8,4,0,1,0
kachick_abb,0,0,17,5,0,1,3,5,1,0,0,0
nx-desktop_nx-simplemenu-applet,0,0,27,1,1,1,23,9,4,1,0,1
OpenTOSCA_container,0,0,11,1,0,1,11,6,1,0,0,0
Datamart_Komito,0,2,9,1,0,1,12,4,2,0,0,0
liuxsen_date-api,0,0,17,1,0,1,33,6,2,0,0,1
concord-consortium_rigse,6,17,95,7,0,3,112,12,17,0,1,0
spring-guides_gs-accessing-data-jpa,0,0,10,1,1,1,12,5,1,0,0,0
BigRedEye_cpparg,0,0,26,2,0,1,11,5,6,0,0,0
psfs_nosql,0,0,22,5,0,1,3,16,3,0,0,0
PODEntender_estatista,0,0,31,1,0,1,17,22,9,0,1,1
Azure_azure-sdk-for-node,0,0,6,2,0,1,12,4,0,0,0,0
statickidz_php-google-translate-free,0,2,17,5,0,1,2,14,2,0,0,0
webpack-contrib_npm-install-webpack-plugin,0,0,21,3,0,1,12,10,4,1,1,0
bulentv_js_zklib,0,0,16,1,0,1,3,4,1,0,1,1
cms-sw_cms-bot,0,2,16,2,1,1,2,7,4,0,0,0
kimihito_minotake,0,0,9,1,0,1,4,3,0,0,0,1
abdes_asap_app_imgui,1,56,285,13,0,1,2,4,24,0,0,0
Rubentxu_DreamsLibGdx,0,0,3,1,0,1,2,3,1,0,0,0
samrap_acf-fluent,0,0,11,2,0,1,2,13,2,0,0,0
construct-org_construct,0,0,16,5,0,1,2,6,4,0,0,0
mootools_mootools-core,3,0,56,31,0,1,14,7,0,0,1,0
ITArray_automotion-java,0,0,10,1,1,1,12,6,1,0,0,0
NTIA_scos-sensor,0,4,32,1,0,1,11,10,10,0,0,0
usharesoft_hammr,0,0,10,1,0,1,2,5,4,0,0,0
lschoe_mpyc,0,0,11,5,0,1,2,9,2,0,0,0
Eyescale_Equalizer,6,1,60,4,1,1,33,7,10,0,0,0
puppetlabs_hiera,1,5,35,6,0,1,13,8,2,0,0,0
