id,name,language,commits,stars,forks,last_change_at,bucket,external,author1,author2,actual,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.TemplateSimilarity,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.configuration.UseDeploy,ch.uzh.ciclassifier.features.repository.CommitsUntilConfigAdded,ch.uzh.ciclassifier.features.repository.ConfigChangeFrequency,ch.uzh.ciclassifier.features.repository.DaysUntilConfigAdded,ch.uzh.ciclassifier.features.repository.NumberOfConfigurationFileChanges,ch.uzh.ciclassifier.features.repository.NumberOfContributorsOnConfigurationFile,ch.uzh.ciclassifier.features.travisci.BuildSuccessRatio,ch.uzh.ciclassifier.features.travisci.BuildTimeAverage,ch.uzh.ciclassifier.features.travisci.ManualInteractionRatio,ch.uzh.ciclassifier.features.travisci.PullRequestRatio,ch.uzh.ciclassifier.features.travisci.TimeToFixAverage
ba07aedc-cc5f-41c1-8730-694b0633ea02,ev3dev-lang-java/template-project-gradle,Java,188,9,14,31.12.20 10:11,small,0,0,,0,0,0,16,1,1,1,2,5,2,0,0,0,127,0.010638298,565,2,2,0.928104575,80.40540541,0.0125,0.675,84.6
f2013ed9-15a0-4336-b100-434138e3145b,Ezhil-Language-Foundation/open-tamil,Python,815,144,57,19.11.20 18:05,small,1,0,1,1,0,2,22,3,0,1,12,9,8,0,0,0,2,0.047841307,0,41,3,0.685245902,646,0,0,306155
0e8ef0b7-5fbd-4b47-8437-1d447dd8124f,facebook/proxygen,C++,6920,6871,1329,05.11.20 10:03,popular,1,1,,1,4,13,41,1,0,1,4,8,2,0,1,0,1,0.003167172,21,23,4,0.508481504,3331.104061,0,0.020238602,164526.7253
fc735cb3-9e19-4261-bfcf-645c0d1af8b4,fastly/fastly-ruby,Ruby,449,87,66,16.09.20 17:30,small,1,0,1,1,0,0,14,4,0,1,13,3,1,0,0,0,108,0.022271715,806,10,5,0.802325581,200.8296296,0,0.710059172,1031834.063
df8605d7-b458-4d87-81be-b618d0c33c0f,fliglio/borg,PHP,126,0,0,18.06.20 14:17,small,1,0,1,1,0,1,20,5,0,1,12,15,3,0,0,0,3,0.023809524,0,3,2,0.75,476.1071429,0,0.566666667,1528.5
abe43f7b-ca64-49be-86d4-17a0d23c6a83,fruitcake/omnipay-sisow,PHP,60,6,13,18.02.20 18:34,small,0,0,,0,1,3,34,7,0,1,13,18,3,0,1,0,15,0.1,2,6,2,0.679245283,338.4166667,0,0.5,1421048
6f24598c-eb44-4a28-9022-b892b68397af,Fullscreen/yt,Ruby,910,673,144,15.01.21 18:47,popular,0,0,,0,0,0,8,1,1,1,3,4,0,0,0,0,0,0.024175824,0,22,3,0.483443709,239.097561,0.023809524,0.642857143,1007771.385
edb8aa97-ed51-4a3e-9b2c-918550efa14e,garriguv/danger-ruby-swiftformat,Ruby,60,19,12,22.10.20 04:58,small,1,0,1,1,0,0,17,5,0,1,2,6,3,0,1,0,0,0.116666667,0,7,2,0.698412698,0,0,0,0
d79314e5-eec7-4fd0-a52c-89667549a014,geekbeast/rhizome,Java,1622,11,2,15.01.21 22:49,medium,0,0,,0,0,0,8,1,0,1,2,5,4,0,0,0,34,0.009864365,317,16,5,0.469951923,223.1026786,0,0.537894737,1100209.271
b9ba221f-9559-4dc7-a09a-a70e5631f866,genezys/linkedin_sign_in,Ruby,32,0,0,07.07.20 21:34,small,0,0,,0,0,1,19,5,0,1,13,5,1,0,1,0,0,0.09375,0,3,1,0.555555556,643.0714286,0,0.423076923,3597.666667
